,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
118,avarua,94,CK,1602989438,69,-21.21,-159.78,77.0,13.87
119,bambous virieux,75,MU,1602989727,93,-20.34,57.76,73.99,3.36
120,saint-joseph,19,RE,1602989727,60,-21.37,55.62,72.0,4.7
121,los llanos de aridane,40,ES,1602989727,83,28.66,-17.92,71.6,5.82
122,loreto,0,MX,1602989727,60,22.27,-101.97,61.93,9.73
123,igarka,98,RU,1602989727,96,67.47,86.58,22.84,10.07
124,envira,100,BR,1602989727,86,-7.3,-70.22,74.73,2.28
125,albany,1,US,1602989727,93,42.6,-73.97,41.0,4.7
126,hithadhoo,100,MV,1602989727,77,-0.6,73.08,83.12,20.94
127,nata,100,PA,1602989727,74,8.33,-80.52,75.99,4.05
128,namibe,53,AO,1602989650,72,-15.2,12.15,68.99,5.95
129,limbang,75,MY,1602989728,74,4.75,115.0,86.0,4.7
130,tuktoyaktuk,5,CA,1602989705,92,69.45,-133.04,14.0,6.93
131,portland,75,US,1602989657,72,45.52,-122.68,60.8,3.36
132,lagoa,33,PT,1602989728,61,39.05,-27.98,61.66,13.44
133,usinsk,33,RU,1602989728,98,65.99,57.53,25.86,10.09
134,bowen,40,AU,1602989728,39,-20.02,148.23,84.2,9.17
135,bantry,75,IE,1602989728,81,51.68,-9.45,51.8,11.41
136,turtas,91,RU,1602989728,96,58.94,69.13,27.18,12.15
137,saskylakh,99,RU,1602989728,96,71.92,114.08,16.05,4.45
138,santa isabel,90,BR,1602989728,82,-23.32,-46.22,64.4,8.05
139,chuy,77,UY,1602989729,88,-33.7,-53.46,59.9,6.26
140,longyearbyen,75,SJ,1602989729,73,78.22,15.64,26.6,5.82
141,kruisfontein,100,ZA,1602989729,95,-34.0,24.73,55.99,11.5
142,jiayuguan,0,CN,1602989519,37,39.82,98.3,50.9,11.45
143,jalingo,62,NG,1602989729,91,8.88,11.37,72.39,1.88
144,wahpeton,1,US,1602989729,79,46.27,-96.61,30.0,10.29
145,vila,100,PT,1602989729,94,42.03,-8.16,48.0,1.01
146,puerto penasco,4,MX,1602989729,35,31.32,-113.53,84.13,7.52
147,kaitangata,94,NZ,1602989729,71,-46.28,169.85,53.01,5.99
148,sitka,75,US,1602989546,45,57.05,-135.33,44.6,9.17
149,sanmenxia,61,CN,1602989730,32,34.77,111.18,64.51,4.85
150,oparino,30,RU,1602989730,97,59.85,48.28,29.17,7.23
151,amberley,1,US,1602989730,43,39.2,-84.43,52.0,5.82
152,surgana,65,IN,1602989730,83,20.57,73.62,75.25,2.33
153,kenai,20,US,1602989730,64,60.55,-151.26,39.2,8.05
154,hasaki,75,JP,1602989453,72,35.73,140.83,68.0,10.29
155,necochea,0,AR,1602989730,74,-38.55,-58.74,70.0,14.0
156,kutum,69,SD,1602989730,21,14.2,24.67,72.93,8.46
157,kahului,40,US,1602989459,55,20.89,-156.47,87.8,6.93
158,coihaique,90,CL,1602989731,75,-45.58,-72.07,46.4,6.93
159,cap malheureux,26,MU,1602989731,73,-19.98,57.61,73.99,4.0
160,malanje,59,AO,1602989731,95,-9.54,16.34,64.71,1.95
161,hobart,75,AU,1602989678,50,-42.88,147.33,62.01,4.7
162,yeppoon,40,AU,1602989731,33,-23.13,150.73,86.0,6.93
163,mari-turek,46,RU,1602989731,97,56.79,49.62,30.67,7.49
164,dudhani,47,IN,1602989731,73,17.37,76.37,78.03,6.71
165,doha,0,QA,1602989643,57,25.29,51.53,80.6,4.7
166,sterling,1,US,1602989732,75,39.01,-77.43,45.0,5.73
167,port hardy,75,CA,1602989732,93,50.7,-127.42,46.4,5.82
168,zychlin,75,PL,1602989732,93,52.24,19.63,39.99,5.82
169,katsuura,75,JP,1602989732,63,35.13,140.3,68.0,10.29
